DatumZeit,LinkKasse,LinkArtikel,Anzahl
2017-03-11,32,1222,75.0
2017-03-11,32,1224,31.0
2017-03-11,32,1570,28.0
2017-03-11,32,1939,17.0
2017-03-11,32,2054,13.0
2017-03-11,32,2057,48.0
2017-03-12,32,1216,771.0
2017-03-12,32,1218,587.0
2017-03-12,32,1219,103.0
2017-03-12,32,1221,120.0
2017-03-12,32,1222,84.0
2017-03-12,32,1224,46.0
2017-03-12,32,1570,30.0
2017-03-12,32,1939,24.0
2017-03-12,32,2054,30.0
2017-03-12,32,2057,86.0
2017-03-13,32,1216,278.0
2017-03-13,32,1218,229.0
2017-03-13,32,1219,13.0
2017-03-13,32,1221,29.0
2017-03-13,32,1222,15.0
2017-03-13,32,1224,14.0
2017-03-13,32,1570,25.0
2017-03-13,32,1939,12.0
2017-03-13,32,2054,10.0
2017-03-13,32,2057,10.0
2017-03-14,32,1216,322.0
2017-03-14,32,1218,207.0
2017-03-14,32,1219,24.0
2017-03-14,32,1221,31.0
2017-03-14,32,1222,11.0
2017-03-14,32,1224,14.0
2017-03-14,32,1570,16.0
2017-03-14,32,1939,12.0
2017-03-14,32,2054,20.0
2017-03-14,32,2057,12.0
2017-03-15,32,1216,389.0
2017-03-15,32,1218,229.0
2017-03-15,32,1219,22.0
2017-03-15,32,1221,34.0
2017-03-15,32,1222,15.0
2017-03-15,32,1224,13.0
2017-03-15,32,1570,24.0
2017-03-15,32,1939,11.0
2017-03-15,32,2054,15.0
2017-03-15,32,2057,12.0
2017-03-16,32,1216,366.0
2017-03-16,32,1218,249.0
2017-03-16,32,1219,16.0
2017-03-16,32,1221,21.0
2017-03-16,32,1222,14.0
2017-03-16,32,1224,22.0
2017-03-16,32,1570,18.0
2017-03-16,32,1939,8.0
2017-03-16,32,2054,18.0
2017-03-16,32,2057,10.0
2017-03-17,32,1216,315.0
2017-03-17,32,1218,219.0
2017-03-17,32,1219,42.0
2017-03-17,32,1221,22.0
2017-03-17,32,1222,19.0
2017-03-17,32,1224,17.0
2017-03-17,32,1570,20.0
2017-03-17,32,1939,14.0
2017-03-17,32,2054,15.0
2017-03-17,32,2057,11.0
2017-03-18,32,1216,666.0
2017-03-18,32,1218,475.0
2017-03-18,32,1219,95.0
2017-03-18,32,1221,62.0
2017-03-18,32,1222,77.0
2017-03-18,32,1224,36.0
2017-03-18,32,1570,22.0
2017-03-18,32,1939,17.0
2017-03-18,32,2054,14.0
2017-03-18,32,2057,64.0
2017-03-19,32,1216,755.0
2017-03-19,32,1218,578.0
2017-03-19,32,1219,118.0
2017-03-19,32,1221,128.0
2017-03-19,32,1222,78.0
2017-03-19,32,1224,49.0
2017-03-19,32,1570,16.0
2017-03-19,32,1939,19.0
2017-03-19,32,2054,38.0
2017-03-19,32,2057,89.0
2017-03-20,32,1216,326.0
2017-03-20,32,1218,234.0
2017-03-20,32,1219,31.0
2017-03-20,32,1221,37.0
2017-03-20,32,1222,12.0
2017-03-20,32,1224,11.0
2017-03-20,32,1570,19.0
2017-03-20,32,1939,12.0
2017-03-20,32,2054,19.0
2017-03-20,32,2057,13.0
2017-03-21,32,1216,332.0
2017-03-21,32,1218,240.0
2017-03-21,32,1219,28.0
2017-03-21,32,1221,37.0
2017-03-21,32,1222,13.0
2017-03-21,32,1224,21.0
2017-03-21,32,1570,20.0
2017-03-21,32,1939,16.0
2017-03-21,32,2054,22.0
2017-03-21,32,2057,13.0
2017-03-22,32,1216,351.0
2017-03-22,32,1218,257.0
2017-03-22,32,1219,17.0
2017-03-22,32,1221,29.0
2017-03-22,32,1222,12.0
2017-03-22,32,1224,15.0
2017-03-22,32,1570,26.0
2017-03-22,32,1939,20.0
2017-03-22,32,2054,18.0
2017-03-22,32,2057,16.0
2017-03-23,32,1216,337.0
2017-03-23,32,1218,271.0
2017-03-23,32,1219,17.0
2017-03-23,32,1221,17.0
2017-03-23,32,1222,12.0
2017-03-23,32,1224,16.0
2017-03-23,32,1570,18.0
2017-03-23,32,1939,12.0
2017-03-23,32,2054,16.0
2017-03-23,32,2057,15.0
2017-03-24,32,1216,372.0
2017-03-24,32,1218,205.0
2017-03-24,32,1219,24.0
2017-03-24,32,1221,26.0
2017-03-24,32,1222,16.0
2017-03-24,32,1224,11.0
2017-03-24,32,1570,15.0
2017-03-24,32,1939,6.0
2017-03-24,32,2054,14.0
2017-03-24,32,2057,9.0
2017-03-25,32,1216,645.0
2017-03-25,32,1218,495.0
2017-03-25,32,1219,82.0
2017-03-25,32,1221,56.0
2017-03-25,32,1222,54.0
2017-03-25,32,1224,41.0
2017-03-25,32,1570,33.0
2017-03-25,32,1939,17.0
2017-03-25,32,2054,13.0
2017-03-25,32,2057,51.0
2017-03-26,32,1216,772.0
2017-03-26,32,1218,639.0
2017-03-26,32,1219,114.0
2017-03-26,32,1221,108.0
2017-03-26,32,1222,53.0
2017-03-26,32,1224,43.0
2017-03-26,32,1570,20.0
2017-03-26,32,1939,20.0
2017-03-26,32,2054,23.0
2017-03-26,32,2057,64.0
2017-03-27,32,1216,322.0
2017-03-27,32,1218,245.0
2017-03-27,32,1219,14.0
2017-03-27,32,1221,21.0
2017-03-27,32,1222,11.0
2017-03-27,32,1224,8.0
2017-03-27,32,1570,25.0
2017-03-27,32,1939,5.0
2017-03-27,32,2054,13.0
2017-03-27,32,2057,14.0
2017-03-28,32,1216,297.0
2017-03-28,32,1218,219.0
2017-03-28,32,1219,19.0
2017-03-28,32,1221,23.0
2017-03-28,32,1222,8.0
2017-03-28,32,1224,12.0
2017-03-28,32,1570,24.0
2017-03-28,32,1939,14.0
2017-03-28,32,2054,18.0
2017-03-28,32,2057,15.0
2017-03-29,32,1216,307.0
2017-03-29,32,1218,246.0
2017-03-29,32,1219,13.0
2017-03-29,32,1221,23.0
2017-03-29,32,1222,9.0
2017-03-29,32,1224,15.0
2017-03-29,32,1570,20.0
2017-03-29,32,1939,14.0
2017-03-29,32,2054,17.0
2017-03-29,32,2057,8.0
2017-03-30,32,1216,328.0
2017-03-30,32,1218,226.0
2017-03-30,32,1219,17.0
2017-03-30,32,1221,26.0
2017-03-30,32,1222,7.0
2017-03-30,32,1224,15.0
2017-03-30,32,1570,16.0
2017-03-30,32,1939,8.0
2017-03-30,32,2054,11.0
2017-03-30,32,2057,9.0
2017-03-31,32,1216,402.0
2017-03-31,32,1218,229.0
2017-03-31,32,1219,18.0
2017-03-31,32,1221,19.0
2017-03-31,32,1222,13.0
2017-03-31,32,1224,16.0
2017-03-31,32,1570,30.0
2017-03-31,32,1939,11.0
2017-03-31,32,2054,14.0
2017-03-31,32,2057,13.0
2017-04-01,32,1216,673.0
2017-04-01,32,1218,508.0
2017-04-01,32,1219,98.0
2017-04-01,32,1221,62.0
2017-04-01,32,1222,62.0
2017-04-01,32,1224,32.0
2017-04-01,32,1570,28.0
2017-04-01,32,1939,15.0
2017-04-01,32,2054,18.0
2017-04-01,32,2057,52.0
2017-04-02,32,1216,749.0
2017-04-02,32,1218,733.0
2017-04-02,32,1219,130.0
2017-04-02,32,1221,106.0
2017-04-02,32,1222,90.0
2017-04-02,32,1224,67.0
2017-04-02,32,1570,31.0
2017-04-02,32,1939,28.0
2017-04-02,32,2054,25.0
2017-04-02,32,2057,82.0
2017-04-03,32,1216,302.0
2017-04-03,32,1218,230.0
2017-04-03,32,1219,25.0
2017-04-03,32,1221,24.0
2017-04-03,32,1222,8.0
2017-04-03,32,1224,13.0
2017-04-03,32,1570,17.0
2017-04-03,32,1939,11.0
2017-04-03,32,2054,11.0
2017-04-03,32,2057,12.0
2017-04-04,32,1216,261.0
2017-04-04,32,1218,249.0
2017-04-04,32,1219,17.0
2017-04-04,32,1221,19.0
2017-04-04,32,1222,11.0
2017-04-04,32,1224,14.0
2017-04-04,32,1570,23.0
2017-04-04,32,1939,10.0
2017-04-04,32,2054,13.0
2017-04-04,32,2057,11.0
2017-04-05,32,1216,334.0
2017-04-05,32,1218,238.0
2017-04-05,32,1219,19.0
2017-04-05,32,1221,18.0
2017-04-05,32,1222,6.0
2017-04-05,32,1224,11.0
2017-04-05,32,1570,19.0
2017-04-05,32,1939,17.0
2017-04-05,32,2054,16.0
2017-04-05,32,2057,7.0
2017-04-06,32,1216,324.0
2017-04-06,32,1218,218.0
2017-04-06,32,1219,23.0
2017-04-06,32,1221,19.0
2017-04-06,32,1222,6.0
2017-04-06,32,1224,13.0
2017-04-06,32,1570,27.0
2017-04-06,32,1939,15.0
2017-04-06,32,2054,15.0
2017-04-06,32,2057,11.0
2017-04-07,32,1216,364.0
2017-04-07,32,1218,280.0
2017-04-07,32,1219,25.0
2017-04-07,32,1221,22.0
2017-04-07,32,1222,12.0
2017-04-07,32,1224,12.0
2017-04-07,32,1570,26.0
2017-04-07,32,1939,13.0
2017-04-07,32,2054,15.0
2017-04-07,32,2057,8.0
2017-04-08,32,1216,666.0
2017-04-08,32,1218,437.0
2017-04-08,32,1219,78.0
2017-04-08,32,1221,65.0
2017-04-08,32,1222,70.0
2017-04-08,32,1224,31.0
2017-04-08,32,1570,27.0
2017-04-08,32,1939,6.0
2017-04-08,32,2054,16.0
2017-04-08,32,2057,52.0
2017-04-09,32,1216,748.0
2017-04-09,32,1218,674.0
2017-04-09,32,1219,135.0
2017-04-09,32,1221,105.0
2017-04-09,32,1222,72.0
2017-04-09,32,1224,40.0
2017-04-09,32,1570,28.0
2017-04-09,32,1939,19.0
2017-04-09,32,2054,24.0
2017-04-09,32,2057,77.0
2017-04-10,32,1216,298.0
2017-04-10,32,1218,283.0
2017-04-10,32,1219,25.0
2017-04-10,32,1221,23.0
2017-04-10,32,1222,12.0
2017-04-10,32,1224,7.0
2017-04-10,32,1570,31.0
2017-04-10,32,1939,8.0
2017-04-10,32,2054,11.0
2017-04-10,32,2057,18.0
2017-04-11,32,1216,366.0
2017-04-11,32,1218,312.0
2017-04-11,32,1219,25.0
2017-04-11,32,1221,19.0
2017-04-11,32,1222,14.0
2017-04-11,32,1224,15.0
2017-04-11,32,1570,27.0
2017-04-11,32,1939,10.0
2017-04-11,32,2054,16.0
2017-04-11,32,2057,16.0
2017-04-12,32,1216,372.0
2017-04-12,32,1218,361.0
2017-04-12,32,1219,18.0
2017-04-12,32,1221,26.0
2017-04-12,32,1222,15.0
2017-04-12,32,1224,17.0
2017-04-12,32,1570,34.0
2017-04-12,32,1939,23.0
2017-04-12,32,2054,15.0
2017-04-12,32,2057,22.0
2017-04-13,32,1216,425.0
2017-04-13,32,1218,327.0
2017-04-13,32,1219,53.0
2017-04-13,32,1221,23.0
2017-04-13,32,1222,21.0
2017-04-13,32,1224,20.0
2017-04-13,32,1570,29.0
2017-04-13,32,1939,11.0
2017-04-13,32,2054,18.0
2017-04-13,32,2057,25.0
2017-04-14,32,1216,508.0
2017-04-14,32,1218,402.0
2017-04-14,32,1219,88.0
2017-04-14,32,1221,71.0
2017-04-14,32,1222,51.0
2017-04-14,32,1224,42.0
2017-04-14,32,1570,28.0
2017-04-14,32,1939,15.0
2017-04-14,32,2054,18.0
2017-04-14,32,2057,51.0
2017-04-15,32,1216,594.0
2017-04-15,32,1218,392.0
2017-04-15,32,1219,73.0
2017-04-15,32,1221,101.0
2017-04-15,32,1222,69.0
2017-04-15,32,1224,24.0
2017-04-15,32,1570,19.0
2017-04-15,32,1939,16.0
2017-04-15,32,2054,11.0
2017-04-15,32,2057,41.0
2017-04-16,32,1216,638.0
2017-04-16,32,1218,584.0
2017-04-16,32,1219,126.0
2017-04-16,32,1221,117.0
2017-04-16,32,1222,82.0
2017-04-16,32,1224,88.0
2017-04-16,32,1570,16.0
2017-04-16,32,1939,13.0
2017-04-16,32,2054,13.0
2017-04-16,32,2057,60.0
2017-04-18,32,1216,298.0
2017-04-18,32,1218,283.0
2017-04-18,32,1219,17.0
2017-04-18,32,1221,27.0
2017-04-18,32,1222,11.0
2017-04-18,32,1224,13.0
2017-04-18,32,1570,21.0
2017-04-18,32,1939,5.0
